人民幣	人民幣 ￥
金髮女人	金髮女人 👱 👱‍♀️
男人	男人 👨
成年男人	成年男人 👨
成年男性	成年男性 👨
爸爸	爸爸 👨
父親	父親 👨
老爹	老爹 👨
有鬍鬚的人	有鬍鬚的人 🧔
有鬍子的人	有鬍子的人 🧔
絡腮鬍	絡腮鬍 🧔
鬍子	鬍子 🧔
鬍鬚	鬍鬚 🧔
大叔	大叔 🧔
長鬍子的女人	長鬍子的女人 🧔‍♀️
鬍子女	鬍子女 🧔‍♀️
紅髮	紅髮 👨‍🦰 👩‍🦰 🦰
紅色頭髮	紅色頭髮 👨‍🦰 👩‍🦰 🦰
紅髮男	紅髮男 👨‍🦰 👨‍🦱
紅髮男子	紅髮男子 👨‍🦰 👨‍🦱
紅髮男人	紅髮男人 👨‍🦰 👨‍🦱
捲髮	捲髮 👨‍🦱 👩‍🦱 🦱
白髮	白髮 👨‍🦳 👩‍🦳 🦳
白色頭髮	白色頭髮 👨‍🦳 👩‍🦳
白髮男	白髮男 👨‍🦳
白髮男子	白髮男子 👨‍🦳
白髮男人	白髮男人 👨‍🦳
光頭	光頭 👨‍🦲 👩‍🦲 🦲
光頭男	光頭男 👨‍🦲
光頭男子	光頭男子 👨‍🦲
光頭男人	光頭男人 👨‍🦲
禿頂	禿頂 👨‍🦲 👩‍🦲 🦲
禿頭	禿頭 👨‍🦲 👩‍🦲 🦲
頭禿	頭禿 👨‍🦲 👩‍🦲 🦲
脫髮	脫髮 👨‍🦲 👩‍🦲 🦲
和尚	和尚 👨‍🦲
女人	女人 👩
成年女人	成年女人 👩
成年女性	成年女性 👩
媽媽	媽媽 👩
母親	母親 👩
老媽	老媽 👩
紅頭髮	紅頭髮 👩‍🦰 🦰
紅髮女	紅髮女 👩‍🦰
紅髮女子	紅髮女子 👩‍🦰
紅髮女人	紅髮女人 👩‍🦰
捲髮女	捲髮女 👩‍🦱
捲髮女子	捲髮女子 👩‍🦱
捲髮女人	捲髮女人 👩‍🦱
白髮女	白髮女 👩‍🦳
白髮女子	白髮女子 👩‍🦳
白髮女人	白髮女人 👩‍🦳
光頭女	光頭女 👩‍🦲
光頭女子	光頭女子 👩‍🦲
光頭女人	光頭女人 👩‍🦲
尼姑	尼姑 👩‍🦲
金髮男	金髮男 👱‍♂️
金髮男子	金髮男子 👱‍♂️
金髮男人	金髮男人 👱‍♂️
老人	老人 👴 👵
老頭	老頭 👴
老頭兒	老頭兒 👴
老爺爺	老爺爺 👴
爺爺	爺爺 👴
姥爺	姥爺 👴
外公	外公 👴
祖父	祖父 👴
老太太	老太太 👵
老奶奶	老奶奶 👵
奶奶	奶奶 👵
姥姥	姥姥 👵
外婆	外婆 👵
祖母	祖母 👵
皺着眉頭	皺着眉頭 🙍‍♂️ 🙍‍♀️
皺着眉頭的人	皺着眉頭的人 🙍‍♂️ 🙍‍♀️
噘嘴的人	噘嘴的人 🙎‍♂️ 🙎‍♀️
禁止手勢	禁止手勢 🙅‍♂️ 🙅‍♀️
不	不 🙅‍♂️ 🙅‍♀️
不行	不行 🙅‍♂️ 🙅‍♀️
反對	反對 🙅‍♂️ 🙅‍♀️
拒絕	拒絕 🙅‍♂️ 🙅‍♀️
不同意	不同意 🙅‍♂️ 🙅‍♀️
不可以	不可以 🙅‍♂️ 🙅‍♀️
同意	同意 🙆‍♂️ 🙆‍♀️
可以	可以 🙆‍♂️ 🙆‍♀️ 🉑
服務員	服務員 💁‍♂️ 💁‍♀️
男服務員	男服務員 💁‍♂️
女服務員	女服務員 💁‍♀️
舉手	舉手 🙋‍♂️ 🙋‍♀️
我知道	我知道 🙋‍♂️ 🙋‍♀️
這個我知道	這個我知道 🙋‍♂️ 🙋‍♀️
失聰者	失聰者 🧏‍♂️ 🧏‍♀️
失聰	失聰 🧏‍♂️ 🧏‍♀️
耳聾	耳聾 🧏‍♂️ 🧏‍♀️
聾子	聾子 🧏‍♂️ 🧏‍♀️
不好意思	不好意思 🙇‍♂️ 🙇‍♀️
對不起	對不起 🙇‍♂️ 🙇‍♀️
道歉	道歉 🙇‍♂️ 🙇‍♀️
鞠躬	鞠躬 🙇‍♂️ 🙇‍♀️
跪求	跪求 🙇‍♂️ 🙇‍♀️
捂臉	捂臉 🤦‍♂️ 🤦‍♀️
手掌捂臉	手掌捂臉 🤦‍♂️ 🤦‍♀️
扶額	扶額 🤦‍♂️ 🤦‍♀️
服了	服了 🤦‍♂️ 🤦‍♀️
我服了	我服了 🤦‍♂️ 🤦‍♀️
服了你了	服了你了 🤦‍♂️ 🤦‍♀️
我服了你	我服了你 🤦‍♂️ 🤦‍♀️
我服了你了	我服了你了 🤦‍♂️ 🤦‍♀️
聳肩	聳肩 🤷‍♂️ 🤷‍♀️
不關心	不關心 🤷‍♂️ 🤷‍♀️
不知道	不知道 🤷‍♂️ 🤷‍♀️
誰知道	誰知道 🤷‍♂️ 🤷‍♀️
誰知道呢	誰知道呢 🤷‍♂️ 🤷‍♀️
醫護人員	醫護人員 👨‍⚕️ 👩‍⚕️
醫生	醫生 👨‍⚕️ 👩‍⚕️
男醫護人員	男醫護人員 👨‍⚕️
男醫生	男醫生 👨‍⚕️
大夫	大夫 👨‍⚕️ 👩‍⚕️
男大夫	男大夫 👨‍⚕️
女醫護人員	女醫護人員 👩‍⚕️
女醫生	女醫生 👩‍⚕️
女大夫	女大夫 👩‍⚕️
學生	學生 👨‍🎓 👩‍🎓
大學生	大學生 👨‍🎓 👩‍🎓
男學生	男學生 👨‍🎓
畢業	畢業 👨‍🎓 👩‍🎓
本科生	本科生 👨‍🎓 👩‍🎓
女學生	女學生 👩‍🎓
老師	老師 👨‍🏫 👩‍🏫
教師	教師 👨‍🏫 👩‍🏫
男老師	男老師 👨‍🏫
男教師	男教師 👨‍🏫
女老師	女老師 👩‍🏫
女教師	女教師 👩‍🏫
法官	法官 👨‍⚖️ 👩‍⚖️
男法官	男法官 👨‍⚖️
女法官	女法官 👩‍⚖️
農民	農民 👨‍🌾 👩‍🌾
農夫	農夫 👨‍🌾
農婦	農婦 👩‍🌾
做飯	做飯 👨‍🍳 👩‍🍳
廚師	廚師 👨‍🍳 👩‍🍳
大廚	大廚 👨‍🍳 👩‍🍳
男廚師	男廚師 👨‍🍳
下廚	下廚 👨‍🍳 👩‍🍳
女廚師	女廚師 👩‍🍳
技工	技工 👨‍🔧 👩‍🔧
水管工	水管工 👨‍🔧 👩‍🔧
電工	電工 👨‍🔧 👩‍🔧
修理工	修理工 👨‍🔧 👩‍🔧
男技工	男技工 👨‍🔧
男水管工	男水管工 👨‍🔧
男電工	男電工 👨‍🔧
男修理工	男修理工 👨‍🔧
女技工	女技工 👩‍🔧
女水管工	女水管工 👩‍🔧
女電工	女電工 👩‍🔧
女修理工	女修理工 👩‍🔧
工廠工人	工廠工人 👨‍🏭 👩‍🏭
男工廠工人	男工廠工人 👨‍🏭
女工廠工人	女工廠工人 👩‍🏭
辦公室職員	辦公室職員 👨‍💼 👩‍💼
職員	職員 👨‍💼 👩‍💼
白領	白領 👨‍💼 👩‍💼
男辦公室職員	男辦公室職員 👨‍💼
男職員	男職員 👨‍💼
男白領	男白領 👨‍💼
女辦公室職員	女辦公室職員 👩‍💼
女職員	女職員 👩‍💼
女白領	女白領 👩‍💼
科學家	科學家 👨‍🔬 👩‍🔬
化學家	化學家 👨‍🔬 👩‍🔬
男科學家	男科學家 👨‍🔬
男化學家	男化學家 👨‍🔬
女科學家	女科學家 👩‍🔬
女化學家	女化學家 👩‍🔬
程序員	程序員 👨‍💻 👩‍💻
碼農	碼農 👨‍💻 👩‍💻
碼畜	碼畜 👨‍💻 👩‍💻
開發人員	開發人員 👨‍💻 👩‍💻
技術員	技術員 👨‍💻 👩‍💻
男程序員	男程序員 👨‍💻
男碼農	男碼農 👨‍💻
男碼畜	男碼畜 👨‍💻
男開發人員	男開發人員 👨‍💻
男技術員	男技術員 👨‍💻
女程序員	女程序員 👩‍💻
女碼農	女碼農 👩‍💻
女碼畜	女碼畜 👩‍💻
女開發人員	女開發人員 👩‍💻
女技術員	女技術員 👩‍💻
歌手	歌手 👨‍🎤 👩‍🎤
男歌手	男歌手 👨‍🎤
搖滾歌手	搖滾歌手 👨‍🎤 👩‍🎤
搖滾男歌手	搖滾男歌手 👨‍🎤
男搖滾歌手	男搖滾歌手 👨‍🎤
朋克	朋克 👨‍🎤 👩‍🎤
重金屬	重金屬 👨‍🎤 👩‍🎤
女歌手	女歌手 👩‍🎤
搖滾女歌手	搖滾女歌手 👩‍🎤
女搖滾歌手	女搖滾歌手 👩‍🎤
藝術家	藝術家 👨‍🎨 👩‍🎨
男藝術家	男藝術家 👨‍🎨
畫家	畫家 👨‍🎨 👩‍🎨
男畫家	男畫家 👨‍🎨
漫畫家	漫畫家 👨‍🎨 👩‍🎨
男漫畫家	男漫畫家 👨‍🎨
女藝術家	女藝術家 👩‍🎨
女畫家	女畫家 👩‍🎨
女漫畫家	女漫畫家 👩‍🎨
飛行員	飛行員 👨‍✈️ 👩‍✈️
男飛行員	男飛行員 👨‍✈️
女飛行員	女飛行員 👩‍✈️
宇航員	宇航員 👨‍🚀 👩‍🚀
男宇航員	男宇航員 👨‍🚀
女宇航員	女宇航員 👩‍🚀
消防員	消防員 👨‍🚒 👩‍🚒
男消防員	男消防員 👨‍🚒
女消防員	女消防員 👩‍🚒
警官	警官 👮‍♂️ 👮‍♀️
警察	警察 👮‍♂️ 👮‍♀️
男警官	男警官 👮‍♂️
男警察	男警察 👮‍♂️
女警官	女警官 👮‍♀️
女警察	女警察 👮‍♀️
偵探	偵探 🕵️‍♂️ 🕵️‍♀️
男偵探	男偵探 🕵️‍♂️
女偵探	女偵探 🕵️‍♀️
衛兵	衛兵 💂‍♂️ 💂‍♀️
衛士	衛士 💂‍♂️ 💂‍♀️
男衛兵	男衛兵 💂‍♂️
男衛士	男衛士 💂‍♂️
女衛兵	女衛兵 💂‍♀️
女衛士	女衛士 💂‍♀️
忍者	忍者 🥷
忍術	忍術 🥷
工人	工人 👷‍♂️ 👷‍♀️
建築工	建築工 👷‍♂️ 👷‍♀️
建築工人	建築工人 👷‍♂️ 👷‍♀️
農民工	農民工 👷‍♂️ 👷‍♀️
男工人	男工人 👷‍♂️
男建築工	男建築工 👷‍♂️
男建築工人	男建築工人 👷‍♂️
男農民工	男農民工 👷‍♂️
女工人	女工人 👷‍♀️
女建築工	女建築工 👷‍♀️
女建築工人	女建築工人 👷‍♀️
女農民工	女農民工 👷‍♀️
君主	君主 🫅
戴王冠的人	戴王冠的人 🫅
王子	王子 🤴
小王子	小王子 🤴
國王	國王 🤴
公主	公主 👸
小公主	小公主 👸
女王	女王 👸
女皇	女皇 👸
頭巾	頭巾 👳‍♂️ 👳‍♀️ 🧕
戴頭巾	戴頭巾 👳‍♂️ 👳‍♀️
戴頭巾的人	戴頭巾的人 👳‍♂️ 👳‍♀️
中國帽	中國帽 👲
瓜皮帽	瓜皮帽 👲
地主	地主 👲
穆斯林	穆斯林 🧕
新郎	新郎 🤵‍♂️
禮服	禮服 🤵‍♂️
燕尾服	燕尾服 🤵‍♂️
西服	西服 🤵‍♂️
女新郎	女新郎 🤵‍♀️
男新娘	男新娘 👰‍♂️
戴頭紗的人	戴頭紗的人 👰‍♀️
頭紗	頭紗 👰‍♀️
婚紗	婚紗 👰‍♀️
新娘	新娘 👰‍♀️
新娘子	新娘子 👰‍♀️
孕婦	孕婦 🤰
懷孕	懷孕 🤰
大肚子	大肚子 🤰 🫃
懷了	懷了 🤰
孕肚	孕肚 🤰
男人懷孕	男人懷孕 🫃
懷孕的男人	懷孕的男人 🫃
啤酒肚	啤酒肚 🫃
將軍肚	將軍肚 🫃
哺乳	哺乳 🤱 👩‍🍼
母乳	母乳 🤱
母乳餵養	母乳餵養 🤱
餵奶	餵奶 🤱
哺乳的女人	哺乳的女人 👩‍🍼
奶媽	奶媽 👩‍🍼
哺乳的男人	哺乳的男人 👨‍🍼
奶爸	奶爸 👨‍🍼
天使寶寶	天使寶寶 👼
小天使	小天使 👼
聖誕老人	聖誕老人 🎅
聖誕夫人	聖誕夫人 🤶
聖誕奶奶	聖誕奶奶 🤶
超人	超人 🦸‍♂️ 🦸‍♀️
超級英雄	超級英雄 🦸‍♂️ 🦸‍♀️
男超人	男超人 🦸‍♂️
男超級英雄	男超級英雄 🦸‍♂️
女超人	女超人 🦸‍♀️
女超級英雄	女超級英雄 🦸‍♀️
反派	反派 🦹‍♂️ 🦹‍♀️
壞蛋	壞蛋 🦹‍♂️ 🦹‍♀️
超級大反派	超級大反派 🦹‍♂️ 🦹‍♀️
大反派	大反派 🦹‍♂️ 🦹‍♀️
男反派	男反派 🦹‍♂️
男壞蛋	男壞蛋 🦹‍♂️
男超級大反派	男超級大反派 🦹‍♂️
男大反派	男大反派 🦹‍♂️
女反派	女反派 🦹‍♀️
女壞蛋	女壞蛋 🦹‍♀️
女超級大反派	女超級大反派 🦹‍♀️
女大反派	女大反派 🦹‍♀️
法師	法師 🧙‍♂️ 🧙‍♀️
魔法師	魔法師 🧙‍♂️ 🧙‍♀️
魔術師	魔術師 🧙‍♂️ 🧙‍♀️
男法師	男法師 🧙‍♂️
男魔法師	男魔法師 🧙‍♂️
男魔術師	男魔術師 🧙‍♂️
男巫	男巫 🧙‍♂️
女法師	女法師 🧙‍♀️
女魔法師	女魔法師 🧙‍♀️
女魔術師	女魔術師 🧙‍♀️
女巫	女巫 🧙‍♀️
精靈	精靈 🧚‍♂️ 🧚‍♀️ 🧝‍♂️ 🧝‍♀️
小精靈	小精靈 🧚‍♂️ 🧚‍♀️
小仙子	小仙子 🧚‍♂️ 🧚‍♀️
小仙女	小仙女 🧚‍♀️
吸血鬼	吸血鬼 🧛‍♂️ 🧛‍♀️
德古拉	德古拉 🧛‍♂️ 🧛‍♀️
男吸血鬼	男吸血鬼 🧛‍♂️
女吸血鬼	女吸血鬼 🧛‍♀️
人魚	人魚 🧜‍♂️ 🧜‍♀️
美男魚	美男魚 🧜‍♂️
男人魚	男人魚 🧜‍♂️
美人魚	美人魚 🧜‍♀️
男精靈	男精靈 🧝‍♂️
精靈族	精靈族 🧝‍♂️ 🧝‍♀️
女精靈	女精靈 🧝‍♀️
阿拉丁	阿拉丁 🧞‍♂️ 🧞‍♀️
阿拉丁神燈	阿拉丁神燈 🧞‍♂️ 🧞‍♀️
燈神	燈神 🧞‍♂️ 🧞‍♀️
男燈神	男燈神 🧞‍♂️
女燈神	女燈神 🧞‍♀️
殭屍	殭屍 🧟‍♂️ 🧟‍♀️
喪屍	喪屍 🧟‍♂️ 🧟‍♀️
行屍走肉	行屍走肉 🧟‍♂️ 🧟‍♀️
男殭屍	男殭屍 🧟‍♂️
男喪屍	男喪屍 🧟‍♂️
男行屍走肉	男行屍走肉 🧟‍♂️
女殭屍	女殭屍 🧟‍♀️
女喪屍	女喪屍 🧟‍♀️
女行屍走肉	女行屍走肉 🧟‍♀️
巨怪	巨怪 🧌
穴居巨怪	穴居巨怪 🧌
按摩	按摩 💆‍♂️ 💆‍♀️
美容	美容 💆‍♂️ 💆‍♀️
剪頭	剪頭 💇‍♂️ 💇‍♀️
剪髮	剪髮 💇‍♂️ 💇‍♀️
理髮	理髮 💇‍♂️ 💇‍♀️
理頭	理頭 💇‍♂️ 💇‍♀️
剪頭髮	剪頭髮 💇‍♂️ 💇‍♀️
理頭髮	理頭髮 💇‍♂️ 💇‍♀️
做造型	做造型 💇‍♂️ 💇‍♀️
美容美髮	美容美髮 💇‍♂️ 💇‍♀️
走路	走路 🚶‍♂️ 🚶‍♀️
徒步	徒步 🚶‍♂️ 🚶‍♀️
行走	行走 🚶‍♂️ 🚶‍♀️
站着	站着 🧍‍♂️ 🧍‍♀️
站立	站立 🧍‍♂️ 🧍‍♀️
站立者	站立者 🧍‍♂️ 🧍‍♀️
站立的男人	站立的男人 🧍‍♂️
哥哥	哥哥 🧍‍♂️
弟弟	弟弟 🧍‍♂️
男仔	男仔 🧍‍♂️
站立的女人	站立的女人 🧍‍♀️
姐姐	姐姐 🧍‍♀️
妹妹	妹妹 🧍‍♀️
女仔	女仔 🧍‍♀️
跪坐	跪坐 🧎‍♂️ 🧎‍♀️
拄盲杖的人	拄盲杖的人 👨‍🦯 👩‍🦯
拿着白手杖的人	拿着白手杖的人 👨‍🦯 👩‍🦯
坐電動輪椅的人	坐電動輪椅的人 👨‍🦼 👩‍🦼
坐電動輪椅的男人	坐電動輪椅的男人 👨‍🦼
電動輪椅	電動輪椅 👨‍🦼 👩‍🦼 🦼
坐電動輪椅的女人	坐電動輪椅的女人 👩‍🦼
坐手動輪椅的人	坐手動輪椅的人 👨‍🦽 👩‍🦽
坐手動輪椅的男人	坐手動輪椅的男人 👨‍🦽
手動輪椅	手動輪椅 👨‍🦽 👩‍🦽 🦽
坐手動輪椅的女人	坐手動輪椅的女人 👩‍🦽
跑步	跑步 🏃‍♂️ 🏃‍♀️
跑步者	跑步者 🏃‍♂️ 🏃‍♀️
馬拉松	馬拉松 🏃‍♂️ 🏃‍♀️
跳舞	跳舞 💃 🕺
跳舞的女人	跳舞的女人 💃
舞女	舞女 💃
跳舞的男人	跳舞的男人 🕺
舞者	舞者 🕺
浮在地面上的西裝男	浮在地面上的西裝男 🕴
兔先生	兔先生 👯‍♂️
兔耳朵	兔耳朵 👯‍♂️ 👯‍♀️
兔女郎	兔女郎 👯‍♀️
桑拿	桑拿 🧖‍♂️ 🧖‍♀️
蒸房	蒸房 🧖‍♂️ 🧖‍♀️
蒸桑拿	蒸桑拿 🧖‍♂️ 🧖‍♀️
蒸房裏的人	蒸房裏的人 🧖‍♂️ 🧖‍♀️
蒸房裏的男人	蒸房裏的男人 🧖‍♂️
蒸房裏的女人	蒸房裏的女人 🧖‍♀️
攀巖者	攀巖者 🧗‍♂️ 🧗‍♀️
攀爬的人	攀爬的人 🧗‍♂️ 🧗‍♀️
登山者	登山者 🧗‍♂️ 🧗‍♀️
登山	登山 🧗‍♂️ 🧗‍♀️
攀山	攀山 🧗‍♂️ 🧗‍♀️
攀爬的男人	攀爬的男人 🧗‍♂️
攀爬的女人	攀爬的女人 🧗‍♀️
擊劍者	擊劍者 🤺
擊劍	擊劍 🤺
擊劍選手	擊劍選手 🤺
賽馬	賽馬 🏇
騎馬	騎馬 🏇
賽馬騎師	賽馬騎師 🏇
滑雪	滑雪 ⛷️
滑雪的人	滑雪的人 ⛷️
單板滑雪	單板滑雪 🏂
滑雪板	滑雪板 🏂
高爾夫球手	高爾夫球手 🏌️‍♂️ 🏌️‍♀️
打高爾夫的人	打高爾夫的人 🏌️‍♂️ 🏌️‍♀️
高爾夫	高爾夫 🏌️‍♂️ 🏌️‍♀️ ⛳
打高爾夫	打高爾夫 🏌️‍♂️ 🏌️‍♀️
衝浪者	衝浪者 🏄‍♂️ 🏄‍♀️
衝浪	衝浪 🏄‍♂️ 🏄‍♀️
男生衝浪	男生衝浪 🏄‍♂️
女生衝浪	女生衝浪 🏄‍♀️
划船	划船 🚣‍♂️ 🚣‍♀️
划艇	划艇 🚣‍♂️ 🚣‍♀️
泛舟	泛舟 🚣‍♂️ 🚣‍♀️
游泳者	游泳者 🏊‍♂️ 🏊‍♀️
游泳	游泳 🏊‍♂️ 🏊‍♀️
泳客	泳客 🏊‍♂️ 🏊‍♀️
男生游泳	男生游泳 🏊‍♂️
女生游泳	女生游泳 🏊‍♀️
籃球運動員	籃球運動員 ⛹️‍♂️ ⛹️‍♀️
打籃球	打籃球 ⛹️‍♂️ ⛹️‍♀️
玩籃球	玩籃球 ⛹️‍♂️ ⛹️‍♀️
舉重	舉重 🏋️‍♂️ 🏋️‍♀️
舉重運動員	舉重運動員 🏋️‍♂️ 🏋️‍♀️
男生舉重	男生舉重 🏋️‍♂️
男舉重運動員	男舉重運動員 🏋️‍♂️
女生舉重	女生舉重 🏋️‍♀️
女舉重運動員	女舉重運動員 🏋️‍♀️
騎車	騎車 🚴‍♂️ 🚴‍♀️
騎單車	騎單車 🚴‍♂️ 🚴‍♀️
騎自行車	騎自行車 🚴‍♂️ 🚴‍♀️
山地車	山地車 🚵‍♂️ 🚵‍♀️
山地自行車	山地自行車 🚵‍♂️ 🚵‍♀️
騎山地車	騎山地車 🚵‍♂️ 🚵‍♀️
側手翻	側手翻 🤸‍♂️ 🤸‍♀️
翻筋斗	翻筋斗 🤸‍♂️ 🤸‍♀️
翻跟頭	翻跟頭 🤸‍♂️ 🤸‍♀️
摔跤	摔跤 🤼‍♂️ 🤼‍♀️
摔跤選手	摔跤選手 🤼‍♂️ 🤼‍♀️
格鬥	格鬥 🤼‍♂️ 🤼‍♀️
水球	水球 🤽‍♂️ 🤽‍♀️
玩水球	玩水球 🤽‍♂️ 🤽‍♀️
男生玩水球	男生玩水球 🤽‍♂️
女生玩水球	女生玩水球 🤽‍♀️
手球	手球 🤾‍♂️ 🤾‍♀️
玩手球	玩手球 🤾‍♂️ 🤾‍♀️
打手球	打手球 🤾‍♂️ 🤾‍♀️
雜耍	雜耍 🤹‍♂️ 🤹‍♀️
拋接	拋接 🤹‍♂️ 🤹‍♀️
拋接雜耍	拋接雜耍 🤹‍♂️ 🤹‍♀️
蓮花坐的人	蓮花坐的人 🧘‍♂️ 🧘‍♀️
蓮花坐	蓮花坐 🧘‍♂️ 🧘‍♀️
全蓮花坐	全蓮花坐 🧘‍♂️ 🧘‍♀️
冥想	冥想 🧘‍♂️ 🧘‍♀️
瑜伽	瑜伽 🧘‍♂️ 🧘‍♀️
盤腿	盤腿 🧘‍♂️ 🧘‍♀️
打坐	打坐 🧘‍♂️ 🧘‍♀️
瑜伽男	瑜伽男 🧘‍♂️
盤腿的男人	盤腿的男人 🧘‍♂️
瑜伽女	瑜伽女 🧘‍♀️
盤腿的女人	盤腿的女人 🧘‍♀️
洗澡	洗澡 🛀
洗澡的人	洗澡的人 🛀
泡澡	泡澡 🛀
泡澡的人	泡澡的人 🛀
睡覺的人	睡覺的人 🛌
躺在牀上的人	躺在牀上的人 🛌
牀上休息	牀上休息 🛌
牽手	牽手 🧑‍🤝‍🧑
手拉手	手拉手 🧑‍🤝‍🧑
兩個牽手的女人	兩個牽手的女人 👭
兩個女人	兩個女人 👭
閨蜜	閨蜜 👭
情侶	情侶 👫
牽手的情侶	牽手的情侶 👫
手拉手的情侶	手拉手的情侶 👫
兩個牽手的男人	兩個牽手的男人 👬
兩個男人	兩個男人 👬
兄弟	兄弟 👬
基友	基友 👬
好基友	好基友 👬
好兄弟	好兄弟 👬
戀愛	戀愛 👩‍❤️‍👨
談戀愛	談戀愛 👩‍❤️‍👨
相愛	相愛 👩‍❤️‍👨
男同	男同 👨‍❤️‍👨
男同性戀	男同性戀 👨‍❤️‍👨
同性戀	同性戀 👨‍❤️‍👨 👩‍❤️‍👩
玻璃	玻璃 👨‍❤️‍👨
女同	女同 👩‍❤️‍👩
女同性戀	女同性戀 👩‍❤️‍👩
拉拉	拉拉 👩‍❤️‍👩
一家人	一家人 👨‍👩‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧
一家三口	一家三口 👨‍👩‍👦 👨‍👩‍👧
三口之家	三口之家 👨‍👩‍👦 👨‍👩‍👧
一家四口	一家四口 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧
四口之家	四口之家 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧
父子	父子 👨‍👦
父女	父女 👨‍👧
母子	母子 👩‍👦
母女	母女 👩‍👧
剪影	剪影 👤
講話	講話 🗣
講話者	講話者 🗣
講話者的頭部剪影	講話者的頭部剪影 🗣
頭部剪影	頭部剪影 🗣
人物剪影	人物剪影 👤
半身像	半身像 👤 👥
頭像	頭像 👤
雙人像	雙人像 👥
雙人	雙人 👥
擁抱的人	擁抱的人 🫂
抱在一起	抱在一起 🫂
腳印	腳印 👣
足跡	足跡 👣
膚色	膚色 🏻 🏼 🏽 🏾 🏿
淺膚色	淺膚色 🏻
中等淺膚色	中等淺膚色 🏼
較淺膚色	較淺膚色 🏼
中等膚色	中等膚色 🏽
中等深膚色	中等深膚色 🏾
較深膚色	較深膚色 🏾
深膚色	深膚色 🏿
赤發	赤發 🦰
猴	猴 🐵 🐒
猴臉	猴臉 🐵
猴頭	猴頭 🐵
猴子	猴子 🐒
大猩猩	大猩猩 🦍
猩猩	猩猩 🦍 🦧
紅毛猩猩	紅毛猩猩 🦧
人猿	人猿 🦧
狗	狗 🐶 🐕
狗臉	狗臉 🐶
狗頭	狗頭 🐶
小狗	小狗 🐶 🐕
Doge	Doge 🐶
旺柴	旺柴 🐶
旺財	旺財 🐶
